# JMP-table dispatch audit
# total sites: 971
#
# Summary:
#   static_target            670  (JMP with statically resolved target — safe)
#   in_function_switch         4  (JMP(PC,Dn.W) compiled to in-function switch+goto — safe, this is the Duff's-device fix)
#   dynamic_register           1  (JMP (An)/(d,An)/(An,Xn) — runtime address from register, safe via call_by_address)
#   fallback_hybrid                — JMP(PC,Dn.W) routed through hybrid_jmp_interpret; subdivided:
#     function_entry           5    (base IS a registered function — call_by_address resolves it directly)
#     bra_w_trampoline         0    (base opcode = 0x6000; runtime miss feedback works)
#     offset_table           291    (base is a dc.w (target-base) table; 1+ entries decode to functions — runtime resolves it)
#     INTERIOR_UNRESOLVED      0    (DANGER: base is interior to a function, NOT one of the safe patterns above — silent failure class like pre-fix CPZ)
#     external_unresolved      0    (base outside any known function — investigate)
#   unsupported                0  (decoder hit a JMP mode the emitter doesn't handle)
#
# When `interior_unresolved` is non-zero, inspect each site — these are
# Sonic-2-CPZ-style silent-failure candidates. Either the recompiler's
# Duff's-device probe (probe_pc_idx_targets) didn't match, or the table
# really is a new pattern that needs new codegen support.
#
# Format: <jmp_addr>  in func <func>  base <base>  kind=<kind>[ targets=N]

$0003F0  in func $0003F0  base $008BD4  kind=static_target
$0003F6  in func $0003F6  base $009C7C  kind=static_target
$0003FC  in func $0003FC  base $008BD4  kind=static_target
$000402  in func $000402  base $008BD4  kind=static_target
$0010E0  in func $0010E0  base $00DA5C  kind=static_target
$0010E6  in func $0010E6  base $03A68A  kind=static_target
$00130C  in func $00130A  base $0EC000  kind=static_target
$001568  in func $001560  base $000000  kind=dynamic_register
$001802  in func $0017DC  base $001852  kind=fallback_hybrid/function_entry
$0019EE  in func $0019DC  base $0019F4  kind=fallback_hybrid/offset_table
$003990  in func $003990  base $015F9C  kind=static_target
$003E98  in func $003E98  base $00C51E  kind=static_target
$004F4C  in func $004F4C  base $00E3C6  kind=static_target
$004F52  in func $004F52  base $00C3D0  kind=static_target
$004F58  in func $004F58  base $03FCC4  kind=static_target
$004F5E  in func $004F5E  base $00E300  kind=static_target
$005754  in func $00572E  base $005758  kind=fallback_hybrid/offset_table
$005774  in func $00572E  base $005778  kind=fallback_hybrid/offset_table
$0057AA  in func $005788  base $0057AE  kind=fallback_hybrid/offset_table
$0057CA  in func $005788  base $0057CE  kind=fallback_hybrid/offset_table
$005DD0  in func $005DA8  base $005DD4  kind=fallback_hybrid/offset_table
$005DF2  in func $005DA8  base $005DF6  kind=fallback_hybrid/offset_table
$005E2A  in func $005E06  base $005E2E  kind=fallback_hybrid/offset_table
$005E4C  in func $005E06  base $005E50  kind=fallback_hybrid/offset_table
$006E50  in func $006E3C  base $006E54  kind=fallback_hybrid/offset_table
$006EFA  in func $006EE0  base $006EFE  kind=fallback_hybrid/offset_table
$0070FA  in func $0070F0  base $0070FE  kind=fallback_hybrid/offset_table
$007360  in func $007356  base $007364  kind=fallback_hybrid/offset_table
$007844  in func $007844  base $0164F4  kind=static_target
$00784A  in func $00784A  base $0157A4  kind=static_target
$007850  in func $007850  base $0164E6  kind=static_target
$007856  in func $007856  base $035CE2  kind=static_target
$00785C  in func $00785C  base $035DAA  kind=static_target
$007862  in func $007862  base $0163AC  kind=static_target
$007868  in func $007868  base $04106E  kind=static_target
$007A72  in func $007A68  base $007A76  kind=fallback_hybrid/offset_table
$007AAC  in func $007AAC  base $0164F4  kind=static_target
$007AE0  in func $007AD0  base $0164E6  kind=static_target
$007B76  in func $007B46  base $0164F4  kind=static_target
$007B7C  in func $007B46  base $0164E6  kind=static_target
$007B90  in func $007B82  base $0164F4  kind=static_target
$007BDE  in func $007BD2  base $01B848  kind=static_target
$007C1C  in func $007BFA  base $01B848  kind=static_target
$007C5E  in func $007C52  base $016544  kind=static_target
$007CAA  in func $007C88  base $01D1AC  kind=static_target
$007D44  in func $007D44  base $016D8A  kind=static_target
$007D4A  in func $007D4A  base $016D6E  kind=static_target
$0080C8  in func $0080BE  base $0080CC  kind=fallback_hybrid/offset_table
$008140  in func $00812C  base $0164F4  kind=static_target
$008BC8  in func $008BC8  base $016D6E  kind=static_target
$008BCE  in func $008BCE  base $03FF2C  kind=static_target
$009C64  in func $009C64  base $001370  kind=static_target
$009C6A  in func $009C6A  base $00135E  kind=static_target
$009C70  in func $009C70  base $00140E  kind=static_target
$009C76  in func $009C76  base $03FF2C  kind=static_target
$00A204  in func $00A1D6  base $00A208  kind=fallback_hybrid/offset_table
$00A3D6  in func $00A3C8  base $00A3DA  kind=fallback_hybrid/offset_table
